日期,开盘,最高,最低,收盘,成交量,成交额
2010/6/1,986.02,994.79,948.12,973.23,1583073,5780310016
2010/6/2,967.61,997.12,952.61,997.12,1202131,4455081472
2010/6/3,1002.35,1026.7,997.78,998.39,1729802,6635854848
2010/6/4,989.68,1027.68,986.5,1027.68,1571654,5512249344
2010/6/7,1005.03,1075.22,1001.7,1069.47,2769355,9500138496
2010/6/8,1067.32,1075.5,1050.96,1067.15,2062969,6929747456
2010/6/9,1070.85,1102.1,1069.43,1077.82,2541568,8994865152
2010/6/10,1077.68,1119.11,1076.28,1117.48,2197404,8242730496
2010/6/11,1122.44,1128.23,1118.71,1122.2,2224874,8449040384
2010/6/17,1126.13,1129.69,1064.84,1064.84,1764283,6757409792
2010/6/18,1052.07,1053.14,993.17,1000.28,1630650,5827720192
2010/6/21,991.96,1043.16,976.41,1040.8,1574797,5604269056
2010/6/22,1037.04,1057.36,1033.65,1034.99,1427162,5067480064
2010/6/23,1026.86,1056.35,1023.74,1047.34,1257359,4608674304
2010/6/24,1046.76,1059.75,1041.54,1050.6,1069132,3904948224
2010/6/25,1046.21,1046.21,999.16,1016.28,1781242,6118335488
2010/6/28,1009.22,1014.41,984.22,987.83,1180048,4166416128
2010/6/29,985.57,992.23,912.54,913.31,1742055,5950152192
2010/6/30,898.29,921.81,881.36,919.31,1408707,4322013184
2010/7/1,914.4,921.21,882.19,882.19,1199397,4038564352
2010/7/2,878.95,885.34,832.62,873.12,1436579,4569467392
2010/7/5,857.37,870.86,842.73,862.27,1015804,3089165312
2010/7/6,859.26,898.45,857.8,893.72,1268273,3995396864
2010/7/7,896.53,908.55,890.34,908.55,1154522,3646053376
2010/7/8,912,914.3,887.03,905.51,1823587,5165453312
2010/7/9,903.5,936.53,896.89,932.15,1844847,5435749888
2010/7/12,931.54,941.07,924.06,930.17,1473329,4566959104
2010/7/13,924.95,936.64,906.3,931.08,1683635,5114771456
2010/7/14,929.75,937.93,916.07,922.36,1621514,4986494464
2010/7/15,920.05,930.56,892.56,892.56,1381135,4298472448
2010/7/16,885.07,895.06,869.02,892.3,1123317,3438813696
2010/7/19,881.66,910.18,878.07,908.05,1018964,3119460864
2010/7/20,909.54,937.55,909.54,937.02,1477184,4738516480
2010/7/21,940.1,959.04,938.16,941.25,1782674,6154522624
2010/7/22,938.22,950.21,932.02,950.21,1326602,4356669952
2010/7/23,951.84,964.74,948.13,960.59,1721251,5339086336
2010/7/26,962.76,966.73,954.76,966.15,1476035,4626043904
2010/7/27,963.54,968.04,955.73,957.97,1361821,4574085632
2010/7/28,955.19,972.53,954.52,972.53,2057862,6808195584
2010/7/29,974.3,982.02,965.61,975.36,2113521,6958028800
2010/7/30,971.66,971.66,955.92,968.43,1691712,5788241920
2010/8/2,968.45,994.23,968.45,994.23,1962783,6585242112
2010/8/3,995.2,996.26,975.65,975.65,1885147,6352818688
2010/8/4,971.41,978.01,955.93,978.01,1624911,5327477760
2010/8/5,980.27,998.1,978.33,987.35,1915500,6503165952
2010/8/6,987.97,1011.39,985.63,1011.39,2360264,8526611456
2010/8/9,1013.25,1032.34,1013.25,1032.34,2428507,8547738624
2010/8/10,1031.98,1034.33,993.99,993.99,2411715,8238700544
2010/8/11,991.28,1006.45,990.94,1004.64,1759141,5917191680
2010/8/12,994.05,1007.58,987.98,991.78,2286132,8961176576
2010/8/13,992.63,1007.52,986.62,1007.21,1782848,6539169792
2010/8/16,1007.5,1031.05,1005.05,1030.22,2091177,7340467712
2010/8/17,1031.08,1036.82,1023.08,1033.58,1963471,7026580480
2010/8/18,1033.71,1035.61,1018.5,1026.72,1811909,6654307840
2010/8/19,1026.98,1033.25,1021.7,1025.53,1750952,6269933568
2010/8/20,1021.46,1022.45,993.56,995.94,2404560,9468961792
2010/8/23,994.94,1001.18,991.52,995.61,1773928,6691924992
2010/8/24,993.58,1007.76,987.22,1004.99,1608155,6272781312
2010/8/25,1000.27,1002.33,976.55,976.88,2166638,7732030464
2010/8/26,978.6,984.87,973,980.63,1700767,6245786624
2010/8/27,978.51,1000.86,975.72,999.46,2173480,7887761920
2010/8/30,1002.99,1025.15,1002.99,1024.93,2358186,8501815808
2010/8/31,1020.75,1029.8,1015.13,1025.57,2175334,8054544384
2010/9/1,1025.68,1029.81,987.59,995.59,2400153,8763610112
2010/9/2,1001.6,1018.28,996.52,1014.92,2758003,11048559616
2010/9/3,1017.64,1045.21,1017.51,1036.7,3186012,12468597760
2010/9/6,1039.46,1043.24,1007.43,1010.76,2546962,9852693504
2010/9/7,1010.12,1022.62,1007.64,1022.62,1686002,6571730432
2010/9/8,1020.23,1027.64,1016.84,1026.33,1801644,6577841152
2010/9/9,1029.11,1040.67,1019.69,1021.83,2365284,8209268736
2010/9/10,1021.87,1037.51,1016.19,1034.94,2210901,7388106240
2010/9/13,1034.39,1045.39,1033.25,1042.48,2010292,6899537408
2010/9/14,1044.3,1046.13,1028.77,1031.22,1940841,6968656384
2010/9/15,1029.52,1030.02,987.05,990.1,2216464,7937955840
2010/9/16,989.49,994.95,964.53,972.6,1717924,5902966272
2010/9/17,976.07,981.73,967.56,972.23,1450030,5395687936
2010/9/20,972.45,975.26,947.41,949.2,1292681,4638370304
2010/9/21,952.07,953.83,930.25,934.46,1107187,3685261056
2010/9/27,936.21,951.84,930.87,950.67,1079437,3608370176
2010/9/28,949.63,949.89,939.63,942.05,1666173,6756897792
2010/9/29,941.27,944.17,924.41,926.76,1230242,4512222720
2010/9/30,923.83,942.54,921.36,942.54,1099209,3967678720
2010/10/8,946.47,963.18,945.62,959.86,1511188,5272914432
2010/10/11,960.91,961.17,941.91,947.11,1852470,6479456256
2010/10/12,946.63,959.98,945.01,951.79,1510895,5054330368
2010/10/13,951.33,962.74,940.65,962.74,2209485,7669942272
2010/10/14,963.29,975.91,956.86,958.5,1994136,6996952576
2010/10/15,954.12,957.77,937.12,944.25,1884787,6403270144
2010/10/18,941.87,941.87,913.82,932.36,1787335,5975258624
2010/10/19,932.83,1005.59,932.32,995.92,3333809,11780278272
2010/10/20,986.65,1024.58,986.03,1004.54,3438174,11730250752
2010/10/21,1001.68,1001.68,983.66,991.84,2161944,7155691520
