,日期,收盘,ma20,操作,净值
0,2010/7/20,937.02,930.29,buy,100.0
1,2010/8/20,995.94,996.45,sell,106.288019466
2,2010/8/24,1004.99,1000.28,buy,106.288019466
3,2010/8/25,976.88,1000.49,sell,103.315098116
4,2010/8/30,1024.93,1003.84,buy,103.315098116
5,2010/9/1,995.59,1007.22,sell,100.357564452
6,2010/9/2,1014.92,1008.6,buy,100.357564452
7,2010/9/15,990.1,1012.85,sell,97.90330722
8,2010/10/19,995.92,967.09,buy,97.90330722
9,2010/12/6,1134.38,1154.33,sell,111.514532939
10,2010/12/7,1161.69,1156.63,buy,111.514532939
11,2010/12/9,1144.53,1158.15,sell,109.867286784
12,2010/12/10,1166.8,1162.38,buy,109.867286784
13,2010/12/23,1176.36,1189.06,sell,110.767467845
14,2011/2/10,1063.95,1042.57,buy,110.767467845
15,2011/3/3,1064.31,1080.43,sell,110.804947321
16,2011/3/10,1093.9,1092.65,buy,110.804947321
17,2011/3/15,1094.95,1095.56,sell,110.911305484
18,2011/3/16,1102.22,1095.31,buy,110.911305484
19,2011/3/17,1078.37,1093.47,sell,108.51139019
20,2011/6/24,832.32,825.76,buy,108.51139019
21,2011/7/25,887.06,897.64,sell,115.647964463
22,2011/7/27,915.55,904.02,buy,115.647964463
23,2011/8/5,919.19,921.25,sell,116.107752121
24,2011/8/12,926.3,916.14,buy,116.107752121
25,2011/8/18,915.68,916.54,sell,114.776580441
26,2011/8/23,936.42,919.33,buy,114.776580441
27,2011/8/31,921.5,923.95,sell,112.947842716
28,2011/10/26,811.13,808.98,buy,112.947842716
29,2011/11/21,863.13,869.01,sell,120.188713873
30,2012/2/3,680.05,674.44,buy,120.188713873
31,2012/3/15,746.44,753.95,sell,131.922158052
32,2012/3/16,765.56,756.34,buy,131.922158052
33,2012/3/20,755.58,760.2,sell,130.202393255
34,2012/4/18,723.46,718.78,buy,130.202393255
35,2012/4/23,690.43,711.64,sell,124.257924938
36,2012/5/4,713.19,702.2,buy,124.257924938
37,2012/5/18,706.22,709.14,sell,123.04355326
38,2012/5/22,714.66,707.42,buy,123.04355326
39,2012/5/25,702.73,711.12,sell,120.989556128
40,2012/5/29,720.45,714.28,buy,120.989556128
41,2012/6/4,717.1,717.97,sell,120.426970226
42,2012/6/11,734.5,716.56,buy,120.426970226
43,2012/6/25,720.6,730.22,sell,118.147957447
44,2012/7/2,741.19,729.78,buy,118.147957447
45,2012/7/5,724.31,732.75,sell,115.457233717
46,2012/7/6,737.29,734.05,buy,115.457233717
47,2012/7/9,722.28,734.47,sell,113.106716175
48,2012/7/12,734.32,732.01,buy,113.106716175
49,2012/7/13,725.79,731.25,sell,111.792847169
50,2012/8/3,711.93,705.43,buy,111.792847169
51,2012/8/27,722.57,726.18,sell,113.463623641
52,2012/9/5,730.62,730.01,buy,113.463623641
53,2012/9/17,724.15,737.45,sell,112.458847362
54,2012/10/10,721.85,719.0,buy,112.458847362
55,2012/10/11,711.8,717.6,sell,110.893132302
56,2012/10/17,709.09,706.57,buy,110.893132302
57,2012/10/25,697.44,701.75,sell,109.071212671
58,2012/12/10,646.32,636.25,buy,109.071212671
59,2012/12/13,632.18,632.3,sell,106.684984568
60,2012/12/14,656.22,632.31,buy,106.684984568
61,2013/3/12,839.84,850.42,sell,136.537011124
62,2013/3/20,866.27,858.68,buy,136.537011124
63,2013/3/28,867.51,867.73,sell,136.732453531
64,2013/4/1,877.0,867.48,buy,136.732453531
65,2013/4/2,845.16,865.34,sell,131.768301512
66,2013/4/9,861.99,860.62,buy,131.768301512
67,2013/4/10,850.53,859.69,sell,130.016465951
68,2013/4/17,867.51,860.81,buy,130.016465951
69,2013/6/4,1022.46,1034.77,sell,153.239312257
70,2013/6/14,1068.15,1047.3,buy,153.239312257
71,2013/6/20,1029.53,1054.62,sell,147.698796188
72,2013/7/1,1055.84,1037.92,buy,147.698796188
73,2013/7/8,1030.6,1043.39,sell,144.168036209
74,2013/7/9,1050.72,1044.82,buy,144.168036209
75,2013/8/12,1161.87,1162.29,sell,159.418794951
76,2013/8/13,1172.33,1163.75,buy,159.418794951
77,2013/8/15,1167.09,1168.26,sell,158.706235786
78,2013/8/19,1171.4,1169.95,buy,158.706235786
79,2013/8/30,1185.15,1191.83,sell,160.569144051
80,2013/9/2,1210.19,1192.2,buy,160.569144051
81,2013/9/12,1220.63,1220.9,sell,161.954333042
82,2013/9/13,1253.45,1226.96,buy,161.954333042
83,2013/10/17,1322.99,1325.56,sell,170.939377774
84,2013/10/18,1349.94,1332.02,buy,170.939377774
85,2013/10/23,1311.23,1347.51,sell,166.037631538
86,2013/11/15,1269.05,1261.53,buy,166.037631538
87,2013/12/2,1253.93,1273.2,sell,164.059388767
88,2013/12/12,1279.32,1276.31,buy,164.059388767
89,2013/12/17,1267.67,1274.68,sell,162.565398304
90,2013/12/25,1288.34,1262.04,buy,162.565398304
91,2014/2/25,1472.69,1508.46,sell,185.827061512
92,2014/3/17,1477.42,1465.83,buy,185.827061512
93,2014/3/20,1417.66,1454.06,sell,178.310563024
94,2014/4/18,1377.42,1366.27,buy,178.310563024
95,2014/4/22,1336.19,1360.41,sell,172.973233441
96,2014/5/23,1296.0,1273.79,buy,172.973233441
97,2014/6/19,1320.66,1338.16,sell,176.264529689
98,2014/6/23,1361.28,1344.65,buy,176.264529689
99,2014/7/10,1363.88,1383.13,sell,176.60118914
100,2014/7/31,1344.54,1339.52,buy,176.60118914
101,2014/8/1,1325.94,1335.23,sell,174.158136409
102,2014/8/5,1360.69,1329.53,buy,174.158136409
103,2014/10/17,1511.05,1520.03,sell,193.403091094
104,2014/10/20,1532.38,1520.34,buy,193.403091094
105,2014/10/21,1517.48,1522.56,sell,191.522548372
106,2014/10/29,1530.08,1524.22,buy,191.522548372
107,2014/10/31,1513.27,1525.19,sell,189.418413923
108,2014/11/3,1529.89,1525.37,buy,189.418413923
109,2014/11/4,1516.4,1524.15,sell,187.748192924
110,2014/11/6,1532.52,1520.46,buy,187.748192924
111,2014/11/10,1514.82,1517.21,sell,185.579775536
112,2014/11/19,1505.55,1497.39,buy,185.579775536
113,2014/11/20,1494.59,1498.23,sell,184.228804569
114,2014/11/21,1504.83,1499.59,buy,184.228804569
115,2014/12/9,1504.62,1527.71,sell,184.20309532
116,2014/12/10,1572.69,1532.56,buy,184.20309532
117,2014/12/22,1517.93,1585.61,sell,177.789268374
118,2015/1/9,1553.24,1552.38,buy,177.789268374
119,2015/4/20,2424.85,2435.7,sell,277.556789303
120,2015/4/21,2566.09,2449.32,buy,277.556789303
121,2015/6/16,3590.67,3693.31,sell,388.37875392
122,2015/6/17,3741.36,3710.06,buy,388.37875392
123,2015/6/18,3504.55,3708.92,sell,363.796256455
124,2015/7/17,2783.32,2768.64,buy,363.796256455
125,2015/7/28,2581.96,2668.24,sell,337.477322879
126,2015/7/29,2693.87,2664.97,buy,337.477322879
127,2015/7/30,2561.19,2660.56,sell,320.85570001
128,2015/8/10,2706.72,2674.66,buy,320.85570001
129,2015/8/12,2622.19,2674.91,sell,310.835479107
130,2015/8/13,2684.26,2677.77,buy,310.835479107
131,2015/8/18,2504.17,2644.27,sell,289.981179809
132,2015/9/21,2079.06,1992.5,buy,289.981179809
133,2015/11/27,2649.55,2707.72,sell,369.551448714
134,2015/12/15,2745.7,2723.0,buy,369.551448714
135,2015/12/28,2735.49,2739.86,sell,368.177256235
136,2015/12/29,2749.82,2744.58,buy,368.177256235
137,2015/12/31,2714.05,2753.19,sell,363.38796077
138,2016/2/4,2126.64,2103.49,buy,363.38796077
139,2016/2/25,2037.14,2111.16,sell,348.094717678
140,2016/3/17,2087.29,2028.02,buy,348.094717678
